Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number,Relocated From X Coordinate,Relocated From Y Coordinate,Relocated From Latitude,Relocated From Longitude,Relocated From Location
06/20/2020 10:11:00 AM,Honda,Purple,HXY3270,Texas,4716,S,CALUMET,AVE,4927,S,PRAIRIE,,Other,20-00044299,1179227.74861926,1873824.69882065,41.809064286,-87.618145659,"(41.80906428581436, -87.61814565922381)"
06/20/2020 10:54:00 AM,Volvo,Gray,Y978904,Illinois,4637,S,CALUMET,AVE,4417,S,CALUMET,,Other,20-00044304,1179212.77232896,1874345.87859116,41.81049479,-87.618184682,"(41.81049478956715, -87.61818468176295)"
06/20/2020 11:00:00 AM,Honda,Blue,AJ80511,Illinois,2011,N,NB OUTER LAKE SHORE,DR,2425,N,CANNON,,Broken Down,20-00044309,,,,,
06/20/2020 11:48:00 AM,Chevrolet,Beige,Y978904,Illinois,4532,S,CALUMET,AVE,222,E,44TH,,Other,20-00044326,1179192.39452011,1875040.20782257,41.812400553,-87.618238233,"(41.812400553010555, -87.6182382331849)"
06/20/2020 03:59:00 PM,Ford,White,X989124,Indiana,554,E,PERSHING,ROAD,3859,S,VINCENNES AVENUE,,Accident,20-00044335,,,,,
06/25/2020 10:20:00 AM,Toyota,White,2994TX,Illinois,4313,W,LAWRENCE,AVE,4033,W,WILSON,,Peoples Gas,20-00045349,1146697.88978452,1931551.14809818,41.968153046,-87.735985924,"(41.96815304558497, -87.73598592398332)"
06/25/2020 10:16:00 AM,Ford,Blue,IFTRXIKF04644,,5356,W,GIDDINGS,ST,5356,N,LONDON,,Water Management,20-00045341,1139757.46958769,1930902.52801532,41.966503123,-87.761521644,"(41.96650312311471, -87.76152164373329)"
06/25/2020 10:16:00 AM,Mercedes,White,MAIN,Illinois,3309,W,FILLMORE,ST,10300,S,DOTY,,Pound Transfer,20-00045327,1154469.44670571,1895179.23700818,41.868193233,-87.708384819,"(41.868193233475566, -87.7083848187114)"
06/25/2020 10:19:00 AM,Nissan,Red,AE79774,Illinois,939,N,WINCHESTER,AVE,1027,N,WINCHESTER,,Peoples Gas,20-00045342,1163232.34433077,1906277.63442766,41.898468596,-87.675902327,"(41.89846859633602, -87.67590232660244)"
06/25/2020 10:00:00 AM,Chevrolet,Black,BB36347,Illinois,518,W,BRIAR,PL,431,W,BARRY,,Other,20-00045338,1172153.0899177,1921013.84251792,41.938713196,-87.642701355,"(41.93871319629258, -87.6427013545518)"
06/25/2020 10:28:00 AM,Chevrolet,Blue,REL8025,Georgia,5350,W,GIDDING,,5357,W,GIDDING,,Water Management,20-00045352,1139795.96958769,1930904.22801532,41.966507083,-87.761380042,"(41.96650708290585, -87.76138004166577)"
06/25/2020 10:20:00 AM,Chevrolet,Gray,BA29124,Illinois,526,N,TROY,,604,N,TROY,,Other,20-00045348,1155282.40007764,1903401.11499462,41.890738617,-87.705179371,"(41.890738617114664, -87.7051793707974)"
06/29/2020 04:16:00 PM,Honda,Silver,174077,Illinois,4922,N,WINCHESTER,AVE,4938,N,WINCHESTER,,Water Management,20-00046122,1162524.61638394,1932705.20528685,41.971002285,-87.677759514,"(41.97100228463282, -87.6777595135934)"
07/07/2020 06:14:00 PM,Toyota,Gray,BW31616,Illinois,356,E,MONROE,DR,324,E,LOWER WACKER DRIVE,,Stalled,20-00047765,1178830.97877227,1899999.95562848,41.88090005,-87.61880216,"(41.880900049798996, -87.61880215968823)"
07/10/2020 11:16:00 AM,Subaru,Silver,ZU26158,Illinois,6740,N,GREENVIEW,AVE,1409,W,FAREWELL,,CDOT Electricity,20-00048426,1165048.37006864,1944868.48282707,42.004325303,-87.668132064,"(42.004325302777815, -87.66813206404784)"
